Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02,186.03,187.32,182.79,184.53,82488700,0.0,0.0
2024-01-03,183.12,184.77,182.34,183.15,58414500,0.0,0.0
2024-01-04,181.06,182.0,179.8,180.82,71983600,0.0,0.0
2024-01-05,180.9,181.67,179.09,180.1,62303300,0.0,0.0
2024-01-08,181.0,184.49,180.42,184.45,59144500,0.0,0.0
2024-01-09,182.82,184.04,181.64,184.04,42841800,0.0,0.0
2024-01-10,183.25,185.29,182.82,185.08,46792900,0.0,0.0
2024-01-11,185.43,185.93,182.52,184.48,49128400,0.0,0.0
2024-01-12,184.95,185.63,184.08,184.81,40444700,0.0,0.0
2024-01-16,181.07,183.16,179.85,182.53,65603000,0.0,0.0
2024-01-17,180.19,181.84,179.22,181.59,47317400,0.0,0.0
2024-01-18,184.98,188.01,184.72,187.5,78005800,0.0,0.0
2024-01-19,188.2,190.8,187.69,190.42,68741000,0.0,0.0
2024-01-22,191.15,194.16,191.11,192.73,60133900,0.0,0.0
2024-01-23,193.86,194.58,192.67,194.02,42355600,0.0,0.0
2024-01-24,194.25,195.21,193.18,193.34,53631300,0.0,0.0
2024-01-25,194.05,195.1,191.96,193.01,54822100,0.0,0.0
2024-01-26,193.11,193.6,190.79,191.27,44594000,0.0,0.0
2024-01-29,190.86,191.05,188.45,190.59,47145600,0.0,0.0
2024-01-30,189.8,190.66,186.35,186.92,55859400,0.0,0.0
2024-01-31,185.92,185.98,183.25,183.3,55467800,0.0,0.0
2024-02-01,182.89,185.83,182.72,185.74,64885400,0.0,0.0
2024-02-02,178.79,186.21,178.18,184.74,102518000,0.0,0.0
2024-02-05,187.03,188.12,184.73,186.56,69668800,0.0,0.0
2024-02-06,185.74,188.18,185.66,188.17,43490800,0.0,0.0
2024-02-07,189.5,189.91,187.48,188.28,53439000,0.0,0.0
2024-02-08,188.26,188.41,186.23,187.2,40962000,0.0,0.0
2024-02-09,187.76,189.1,187.12,187.96,45155200,0.24,0.0
2024-02-12,187.53,187.78,185.91,186.27,41781900,0.0,0.0
2024-02-13,184.9,185.33,182.65,184.17,56529500,0.0,0.0
2024-02-14,184.45,184.66,181.58,183.28,54630500,0.0,0.0
2024-02-15,182.69,183.62,180.5,183.0,65434500,0.0,0.0
2024-02-16,182.56,183.98,180.82,181.45,49701400,0.0,0.0
2024-02-20,180.94,181.57,179.15,180.71,53665600,0.0,0.0
2024-02-21,181.08,182.03,179.81,181.46,41529700,0.0,0.0
2024-02-22,182.62,184.09,181.6,183.5,52292200,0.0,0.0
2024-02-23,184.14,184.17,181.37,181.66,45119700,0.0,0.0
2024-02-26,181.38,181.9,179.8,180.31,40867400,0.0,0.0
2024-02-27,180.25,183.06,178.72,181.77,54318900,0.0,0.0
2024-02-28,181.65,182.26,179.28,180.57,48953900,0.0,0.0
2024-02-29,180.42,181.71,178.69,179.9,136682600,0.0,0.0
2024-03-01,178.71,179.68,176.55,178.82,73488000,0.0,0.0
2024-03-04,175.32,176.07,172.97,174.28,81510100,0.0,0.0
2024-03-05,169.96,171.23,168.82,169.32,95132400,0.0,0.0
2024-03-06,170.26,170.44,167.89,168.33,68587700,0.0,0.0
2024-03-07,168.36,169.93,167.7,168.21,71765100,0.0,0.0
2024-03-08,168.21,172.88,168.15,169.93,76114600,0.0,0.0
2024-03-11,172.13,173.56,171.24,171.94,60139500,0.0,0.0
2024-03-12,172.34,173.21,170.21,172.42,59825400,0.0,0.0
2024-03-13,171.96,172.38,169.96,170.33,52488700,0.0,0.0
2024-03-14,172.1,173.49,171.24,172.19,72913500,0.0,0.0
2024-03-15,170.37,171.81,169.49,171.81,121664700,0.0,0.0
2024-03-18,174.74,176.87,172.7,172.9,75604200,0.0,0.0
2024-03-19,173.52,175.78,172.22,175.25,55215200,0.0,0.0
2024-03-20,174.89,177.83,174.27,177.83,53423100,0.0,0.0
2024-03-21,176.22,176.66,170.04,170.56,106181300,0.0,0.0
2024-03-22,170.95,172.24,169.26,171.47,71106600,0.0,0.0
2024-03-25,169.77,171.13,168.65,170.05,54288300,0.0,0.0
2024-03-26,169.2,170.61,168.78,168.91,57388400,0.0,0.0
2024-03-27,169.61,172.78,169.31,172.5,60273300,0.0,0.0
2024-03-28,170.94,171.42,169.71,170.67,65672700,0.0,0.0
2024-04-01,170.39,170.45,168.68,169.23,46240500,0.0,0.0
2024-04-02,168.29,168.54,167.44,168.05,49329500,0.0,0.0
2024-04-03,168.0,169.88,167.79,168.85,47691700,0.0,0.0
2024-04-04,169.49,171.11,168.03,168.03,53704400,0.0,0.0
2024-04-05,168.79,169.59,168.16,168.78,42055200,0.0,0.0
2024-04-08,168.24,168.4,167.45,167.66,37425500,0.0,0.0
2024-04-09,167.91,169.28,167.56,168.87,42451200,0.0,0.0
2024-04-10,168.01,168.3,166.32,166.99,49709300,0.0,0.0
2024-04-11,167.55,174.64,167.37,174.22,91070300,0.0,0.0
2024-04-12,173.44,177.52,173.39,175.72,101593300,0.0,0.0
2024-04-15,174.54,175.8,171.69,171.88,73531800,0.0,0.0
2024-04-16,170.94,172.94,167.48,168.58,73711200,0.0,0.0
2024-04-17,168.81,169.85,167.21,167.21,50901200,0.0,0.0
