Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-01-02,52.42,52.7,52.4,52.69,2246800,0.0,0.0,0.0
2025-01-03,52.49,52.55,52.24,52.28,1701000,0.0,0.0,0.0
2025-01-06,52.01,52.33,51.96,52.19,2290300,0.0,0.0,0.0
2025-01-07,52.72,52.76,52.34,52.5,2336300,0.0,0.0,0.0
2025-01-08,52.76,52.9,52.49,52.78,2417400,0.0,0.0,0.0
2025-01-10,53.28,53.7,53.14,53.7,4514300,0.0,0.0,0.0
2025-01-13,52.87,52.98,52.63,52.73,2601100,0.0,0.0,0.0
2025-01-14,52.73,53.03,52.71,53.03,1893200,0.0,0.0,0.0
2025-01-15,53.3,53.43,53.03,53.43,2598000,0.0,0.0,0.0
2025-01-16,53.79,53.97,53.72,53.79,3502700,0.0,0.0,0.0
2025-01-17,53.63,53.84,53.49,53.53,2018900,0.0,0.0,0.0
2025-01-21,54.09,54.4,54.07,54.34,2078000,0.0,0.0,0.0
2025-01-22,54.6,54.69,54.49,54.62,1341400,0.0,0.0,0.0
2025-01-23,54.36,54.65,54.28,54.55,1781500,0.0,0.0,0.0
2025-01-24,54.97,55.19,54.88,54.91,1472600,0.0,0.0,0.0
2025-01-27,54.5,54.58,54.1,54.32,2079200,0.0,0.0,0.0
2025-01-28,54.56,54.78,54.51,54.77,3683000,0.0,0.0,0.0
2025-01-29,54.64,54.69,54.38,54.58,3102800,0.0,0.0,0.0
2025-01-30,55.19,55.44,55.06,55.39,3211500,0.0,0.0,0.0
2025-01-31,55.64,55.81,55.36,55.48,4873800,0.0,0.0,0.0
2025-02-03,55.77,56.08,55.72,55.81,6411000,0.0,0.0,0.0
2025-02-04,56.22,56.37,56.13,56.36,2813100,0.0,0.0,0.0
2025-02-05,56.77,57.12,56.67,56.73,3200300,0.0,0.0,0.0
2025-02-06,56.62,56.62,56.15,56.57,2549100,0.0,0.0,0.0
2025-02-07,56.94,57.19,56.54,56.69,2577000,0.0,0.0,0.0
2025-02-10,57.54,57.69,57.39,57.61,2340900,0.0,0.0,0.0
2025-02-11,57.49,57.62,57.28,57.41,2024500,0.0,0.0,0.0
2025-02-12,57.37,57.64,57.18,57.48,2161200,0.0,0.0,0.0
2025-02-13,57.62,58.03,57.56,58.03,2745700,0.0,0.0,0.0
2025-02-14,58.0,58.01,57.0,57.17,3176700,0.0,0.0,0.0
2025-02-18,57.91,58.18,57.89,58.12,2330300,0.0,0.0,0.0
2025-02-19,58.13,58.25,57.82,58.16,2169200,0.0,0.0,0.0
2025-02-20,58.02,58.37,58.02,58.19,1987400,0.0,0.0,0.0
2025-02-21,58.15,58.3,57.89,58.14,1889000,0.0,0.0,0.0
2025-02-24,58.28,58.47,58.06,58.46,3280000,0.0,0.0,0.0
2025-02-25,58.31,58.33,57.22,57.69,3408400,0.0,0.0,0.0
2025-02-26,57.37,57.78,57.27,57.78,2045500,0.0,0.0,0.0
2025-02-27,57.22,57.26,56.79,56.91,4981700,0.0,0.0,0.0
2025-02-28,56.4,56.57,56.1,56.54,4732700,0.0,0.0,0.0
2025-03-03,56.94,57.32,56.94,57.27,3070000,0.0,0.0,0.0
2025-03-04,57.79,57.86,57.46,57.79,5366900,0.0,0.0,0.0
2025-03-05,57.55,58.04,57.54,57.9,4096400,0.0,0.0,0.0
2025-03-06,57.61,57.88,57.6,57.62,1808600,0.0,0.0,0.0
2025-03-07,57.8,58.05,57.49,57.65,2557700,0.0,0.0,0.0
2025-03-10,57.49,57.66,57.05,57.17,3830200,0.0,0.0,0.0
2025-03-11,57.66,57.89,57.66,57.82,4621100,0.0,0.0,0.0
2025-03-12,57.67,58.25,57.65,58.07,3351400,0.0,0.0,0.0
2025-03-13,58.34,59.13,58.33,59.08,4105800,0.0,0.0,0.0
2025-03-14,59.35,59.35,59.01,59.12,4954200,0.0,0.0,0.0
2025-03-17,59.18,59.45,59.16,59.44,2056400,0.0,0.0,0.0
2025-03-18,60.13,60.19,59.92,60.17,3817200,0.0,0.0,0.0
2025-03-19,60.11,60.45,59.94,60.4,4118300,0.0,0.0,0.0
2025-03-20,60.04,60.33,60.01,60.31,3967000,0.0,0.0,0.0
2025-03-21,60.01,60.03,59.42,59.83,4358500,0.0,0.0,0.0
2025-03-24,59.92,59.94,59.47,59.55,1738600,0.0,0.0,0.0
2025-03-25,59.9,60.13,59.78,59.83,2456500,0.0,0.0,0.0
2025-03-26,59.93,59.93,59.68,59.78,1817700,0.0,0.0,0.0
2025-03-27,60.3,60.59,60.07,60.56,2319500,0.0,0.0,0.0
2025-03-28,60.96,61.14,60.76,61.03,2332100,0.0,0.0,0.0
2025-03-31,61.77,61.95,61.4,61.89,5109300,0.0,0.0,0.0
2025-04-01,62.07,62.11,61.42,61.79,8674400,0.0,0.0,0.0
2025-04-02,61.92,62.08,61.74,61.87,3720300,0.0,0.0,0.0
2025-04-03,60.7,62.08,60.67,61.54,7017300,0.0,0.0,0.0
2025-04-04,60.93,61.02,59.73,60.15,10127600,0.0,0.0,0.0
2025-04-07,59.89,60.17,58.56,58.96,8832200,0.0,0.0,0.0
2025-04-08,59.6,59.78,58.92,59.11,5997200,0.0,0.0,0.0
2025-04-09,60.63,61.39,60.38,61.26,9437600,0.0,0.0,0.0
2025-04-10,62.05,62.91,61.71,62.8,7930500,0.0,0.0,0.0
2025-04-11,64.0,64.28,63.76,64.01,9028800,0.0,0.0,0.0
2025-04-14,63.5,63.71,63.28,63.63,3745200,0.0,0.0,0.0
2025-04-15,63.81,64.02,63.62,64.0,3367100,0.0,0.0,0.0
2025-04-16,65.44,66.21,65.28,66.08,9942000,0.0,0.0,0.0
2025-04-17,65.75,65.98,65.04,65.78,6323400,0.0,0.0,0.0
