Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,589.2,604.37,587.3,598.71,12682300,0.0,0.0
2025-01-03,604.22,608.96,595.88,604.09,11436800,0.0,0.0
2025-01-06,611.29,630.43,605.08,629.64,14560800,0.0,0.0
2025-01-07,631.14,631.54,607.69,617.34,12071500,0.0,0.0
2025-01-08,612.85,615.89,602.25,610.18,10085800,0.0,0.0
2025-01-10,609.49,629.35,596.81,615.31,19256600,0.0,0.0
2025-01-13,606.56,608.43,597.92,607.79,10785000,0.0,0.0
2025-01-14,604.53,604.95,588.03,593.72,13598000,0.0,0.0
2025-01-15,609.67,621.91,605.96,616.57,15524300,0.0,0.0
2025-01-16,610.96,615.7,609.17,610.76,8355300,0.0,0.0
2025-01-17,623.5,624.41,603.13,612.23,17280600,0.0,0.0
2025-01-21,617.28,620.95,608.47,615.91,11674000,0.0,0.0
2025-01-22,622.75,633.14,618.88,622.95,12274000,0.0,0.0
2025-01-23,626.8,636.03,620.6,635.88,9910200,0.0,0.0
2025-01-24,635.83,651.42,633.64,646.91,19065300,0.0,0.0
2025-01-27,626.05,663.28,624.54,659.29,28399200,0.0,0.0
2025-01-28,665.41,681.97,658.88,673.73,20950100,0.0,0.0
2025-01-29,674.4,680.44,665.08,675.89,21377800,0.0,0.0
2025-01-30,696.2,710.16,675.5,686.39,29322900,0.0,0.0
2025-01-31,690.39,704.67,684.97,688.57,19331700,0.0,0.0
2025-02-03,675.31,703.37,674.65,696.84,21415700,0.0,0.0
2025-02-04,701.88,707.08,691.0,703.56,13826300,0.0,0.0
2025-02-05,702.92,717.5,698.39,704.24,17778200,0.0,0.0
2025-02-06,705.25,718.26,702.87,711.36,13080700,0.0,0.0
2025-02-07,716.16,724.37,711.12,713.88,16427100,0.0,0.0
2025-02-10,717.92,720.56,710.7,716.76,12904300,0.0,0.0
2025-02-11,712.69,723.02,709.41,719.16,12998000,0.0,0.0
2025-02-12,714.66,726.45,711.97,724.74,12016500,0.0,0.0
2025-02-13,720.88,728.35,717.4,727.91,12569100,0.0,0.0
2025-02-14,725.49,740.25,724.98,736.02,16901200,0.0,0.0
2025-02-18,735.35,736.34,705.81,715.73,21938700,0.0,0.0
2025-02-19,703.47,706.37,694.77,703.14,17535500,0.0,0.0
2025-02-20,696.66,705.0,693.02,694.22,12587400,0.0,0.0
2025-02-21,695.96,703.24,681.75,682.94,15660400,0.0,0.0
2025-02-24,685.67,686.66,661.86,667.54,15677000,0.0,0.0
2025-02-25,665.38,667.41,641.29,656.92,20579700,0.0,0.0
2025-02-26,659.06,682.4,657.42,673.1,14488700,0.0,0.0
2025-02-27,681.84,688.04,656.99,657.65,12500000,0.0,0.0
2025-02-28,657.46,669.03,642.03,667.61,17534200,0.0,0.0
2025-03-03,673.08,680.64,650.26,654.47,10843800,0.0,0.0
2025-03-04,644.94,649.17,623.1,639.43,21495200,0.0,0.0
2025-03-05,640.43,658.91,637.09,655.89,13770000,0.0,0.0
2025-03-06,647.42,649.98,623.56,627.37,13446500,0.0,0.0
2025-03-07,624.81,634.23,600.08,625.1,21375700,0.0,0.0
2025-03-10,607.53,609.57,586.35,597.46,21999900,0.0,0.0
2025-03-11,594.52,614.38,592.8,605.17,17401500,0.0,0.0
2025-03-12,629.34,632.77,608.81,619.01,15747000,0.0,0.0
2025-03-13,619.7,619.95,585.99,590.11,16480300,0.0,0.0
2025-03-14,602.8,608.86,594.78,607.6,12364500,0.52,0.0
2025-03-17,607.46,613.1,598.0,604.9,15473900,0.0,0.0
2025-03-18,600.05,600.25,574.66,582.36,20297700,0.0,0.0
2025-03-19,584.28,592.32,574.77,584.06,20537500,0.0,0.0
2025-03-20,582.76,610.2,579.51,586.0,24336500,0.0,0.0
2025-03-21,583.42,597.54,580.95,596.25,25015900,0.0,0.0
2025-03-24,614.97,622.54,612.2,618.85,15741300,0.0,0.0
2025-03-25,626.76,633.88,621.18,626.31,15312500,0.0,0.0
2025-03-26,624.89,626.75,606.61,610.98,12609800,0.0,0.0
2025-03-27,602.0,614.25,600.1,602.58,10436500,0.0,0.0
2025-03-28,600.31,601.75,573.92,576.74,17602800,0.0,0.0
2025-03-31,563.5,578.7,553.3,576.36,21124700,0.0,0.0
2025-04-01,570.84,589.91,570.0,586.0,12836600,0.0,0.0
2025-04-02,574.91,592.66,573.36,583.93,13470800,0.0,0.0
2025-04-03,546.22,552.56,530.3,531.62,34777500,0.0,0.0
2025-04-04,506.62,518.0,494.2,504.73,38589800,0.0,0.0
2025-04-07,485.1,539.37,481.9,516.25,36606100,0.0,0.0
2025-04-08,543.25,547.43,502.86,510.45,28034200,0.0,0.0
2025-04-09,509.27,587.89,502.11,585.77,39216600,0.0,0.0
2025-04-10,575.49,581.3,535.3,546.29,28173500,0.0,0.0
2025-04-11,535.51,547.4,528.59,543.57,17642300,0.0,0.0
2025-04-14,556.17,557.77,528.28,531.48,14130900,0.0,0.0
2025-04-15,532.11,537.94,517.5,521.52,15558700,0.0,0.0
2025-04-16,508.51,513.37,495.63,502.31,18735100,0.0,0.0
2025-04-17,505.25,507.3,498.01,501.48,14593500,0.0,0.0
