Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,424.68,425.22,414.02,417.74,16896500,0.0,0.0
2025-01-03,420.24,423.18,418.7,422.5,16662900,0.0,0.0
2025-01-06,427.14,433.45,424.63,426.99,20573600,0.0,0.0
2025-01-07,428.14,429.79,419.96,421.52,18139100,0.0,0.0
2025-01-08,422.61,426.12,420.7,423.71,15054600,0.0,0.0
2025-01-10,423.78,423.86,414.19,418.11,20201100,0.0,0.0
2025-01-13,414.41,417.66,411.46,416.36,17604800,0.0,0.0
2025-01-14,416.97,418.9,409.9,414.84,16935900,0.0,0.0
2025-01-15,418.29,427.29,417.43,425.46,19637800,0.0,0.0
2025-01-16,427.84,428.63,423.54,423.73,15300000,0.0,0.0
2025-01-17,433.22,433.61,427.31,428.17,26197500,0.0,0.0
2025-01-21,429.34,430.04,424.75,427.64,26085700,0.0,0.0
2025-01-22,436.68,446.37,435.13,445.31,27803800,0.0,0.0
2025-01-23,441.12,445.86,440.62,445.82,18389300,0.0,0.0
2025-01-24,444.27,445.76,440.52,443.17,15549500,0.0,0.0
2025-01-27,423.16,434.33,422.65,433.69,35647800,0.0,0.0
2025-01-28,433.73,447.48,430.52,446.31,23491700,0.0,0.0
2025-01-29,445.8,445.99,439.52,441.44,23581400,0.0,0.0
2025-01-30,417.93,422.01,412.33,414.16,54586300,0.0,0.0
2025-01-31,418.14,419.85,414.08,414.23,34223400,0.0,0.0
2025-02-03,410.78,414.58,407.84,410.1,25679100,0.0,0.0
2025-02-04,411.86,413.09,408.92,411.54,20532100,0.0,0.0
2025-02-05,411.52,413.0,409.58,412.46,16316700,0.0,0.0
2025-02-06,413.17,417.36,413.17,414.99,16309800,0.0,0.0
2025-02-07,415.65,417.81,407.28,408.93,22886800,0.0,0.0
2025-02-10,412.88,414.63,410.1,411.4,20817900,0.0,0.0
2025-02-11,408.82,411.66,408.48,410.62,18140600,0.0,0.0
2025-02-12,406.4,409.93,403.56,408.22,19121700,0.0,0.0
2025-02-13,406.19,410.18,405.55,409.72,23891700,0.0,0.0
2025-02-14,406.97,408.09,405.07,407.61,22758500,0.0,0.0
2025-02-18,407.18,409.78,405.69,408.82,21423100,0.0,0.0
2025-02-19,407.06,414.66,406.83,413.94,24114200,0.0,0.0
2025-02-20,415.29,419.31,412.54,416.13,23508700,0.83,0.0
2025-02-21,417.34,418.05,407.89,408.21,27524800,0.0,0.0
2025-02-24,408.51,409.37,399.32,404.0,26443700,0.0,0.0
2025-02-25,401.1,401.92,396.7,397.9,29387400,0.0,0.0
2025-02-26,398.01,403.6,394.25,399.73,19619000,0.0,0.0
2025-02-27,401.27,405.74,392.17,392.53,21127400,0.0,0.0
2025-02-28,392.66,397.63,386.57,396.99,32845700,0.0,0.0
2025-03-03,398.82,398.82,386.16,388.49,23007700,0.0,0.0
2025-03-04,383.4,392.58,381.0,388.61,29342900,0.0,0.0
2025-03-05,389.34,401.67,388.81,401.02,23433100,0.0,0.0
2025-03-06,394.28,402.15,392.68,396.89,23304600,0.0,0.0
2025-03-07,392.32,394.8,385.54,393.31,22034100,0.0,0.0
2025-03-10,385.84,386.4,377.22,380.16,32840100,0.0,0.0
2025-03-11,379.0,386.0,376.91,380.45,30380200,0.0,0.0
2025-03-12,382.95,385.22,378.95,383.27,24253600,0.0,0.0
2025-03-13,383.16,385.32,377.45,378.77,20473000,0.0,0.0
2025-03-14,379.78,390.23,379.51,388.56,19952800,0.0,0.0
2025-03-17,386.7,392.71,385.57,388.7,22474300,0.0,0.0
2025-03-18,387.07,387.37,381.1,383.52,19486900,0.0,0.0
2025-03-19,385.53,389.68,384.0,387.82,19185500,0.0,0.0
2025-03-20,385.74,391.79,383.28,386.84,18470500,0.0,0.0
2025-03-21,383.22,391.74,382.8,391.26,39675900,0.0,0.0
2025-03-24,395.4,395.4,389.81,393.08,21004500,0.0,0.0
2025-03-25,393.92,396.36,392.64,395.16,15775000,0.0,0.0
2025-03-26,395.0,395.31,388.57,389.97,16108400,0.0,0.0
2025-03-27,390.13,392.24,387.4,390.58,13766800,0.0,0.0
2025-03-28,388.08,389.13,376.93,378.8,21632000,0.0,0.0
2025-03-31,372.54,377.07,367.24,375.39,35184700,0.0,0.0
2025-04-01,374.65,382.85,373.23,382.19,19689500,0.0,0.0
2025-04-02,377.97,385.08,376.62,382.14,16092600,0.0,0.0
2025-04-03,374.79,377.48,369.35,373.11,30198000,0.0,0.0
2025-04-04,364.13,374.59,359.48,359.84,49209900,0.0,0.0
2025-04-07,350.88,371.0,344.79,357.86,50425000,0.0,0.0
2025-04-08,368.26,373.65,350.25,354.56,35868900,0.0,0.0
2025-04-09,353.54,393.23,353.1,390.49,50199700,0.0,0.0
2025-04-10,382.06,383.9,367.8,381.35,38024400,0.0,0.0
2025-04-11,380.64,390.05,378.89,388.45,23839200,0.0,0.0
2025-04-14,393.22,394.65,384.21,387.81,19251200,0.0,0.0
2025-04-15,388.51,391.89,384.16,385.73,17199900,0.0,0.0
2025-04-16,380.67,381.61,368.0,371.61,21967800,0.0,0.0
2025-04-17,373.75,374.32,366.89,367.78,20943700,0.0,0.0
