Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-01-02,587.62,589.36,578.76,582.89,50204000,0.0,0.0,0.0
2025-01-03,585.77,590.82,584.67,590.17,37888500,0.0,0.0,0.0
2025-01-06,594.48,597.9,591.82,593.57,47679400,0.0,0.0,0.0
2025-01-07,595.63,595.96,585.02,586.86,60393100,0.0,0.0,0.0
2025-01-08,586.93,588.81,583.44,587.72,47304700,0.0,0.0,0.0
2025-01-10,584.12,584.19,576.81,578.75,73105000,0.0,0.0,0.0
2025-01-13,574.04,580.01,573.62,579.65,47910100,0.0,0.0,0.0
2025-01-14,582.61,583.25,576.62,580.44,48420600,0.0,0.0,0.0
2025-01-15,588.56,592.16,587.43,591.0,56900200,0.0,0.0,0.0
2025-01-16,592.39,592.57,589.16,589.87,43319700,0.0,0.0,0.0
2025-01-17,595.17,597.56,593.82,595.79,58070600,0.0,0.0,0.0
2025-01-21,598.87,601.25,596.87,601.24,42532900,0.0,0.0,0.0
2025-01-22,604.1,606.0,603.54,604.62,48196000,0.0,0.0,0.0
2025-01-23,603.98,607.92,603.7,607.92,41152100,0.0,0.0,0.0
2025-01-24,607.98,608.95,604.98,606.15,34604700,0.0,0.0,0.0
2025-01-27,593.03,597.89,592.86,597.57,70361100,0.0,0.0,0.0
2025-01-28,598.82,603.55,595.46,602.71,44433300,0.0,0.0,0.0
2025-01-29,601.91,602.32,597.42,600.01,37177400,0.0,0.0,0.0
2025-01-30,602.15,604.78,598.92,603.23,39281300,0.0,0.0,0.0
2025-01-31,605.68,608.13,599.25,600.02,66671500,0.0,0.0,0.0
2025-02-03,590.89,598.49,588.72,595.98,65857200,0.0,0.0,0.0
2025-02-04,596.04,600.49,595.49,599.98,33457800,0.0,0.0,0.0
2025-02-05,598.84,602.56,596.78,602.41,30653100,0.0,0.0,0.0
2025-02-06,604.17,604.63,600.82,604.5,35771500,0.0,0.0,0.0
2025-02-07,605.07,606.31,598.25,598.97,50788500,0.0,0.0,0.0
2025-02-10,602.22,603.68,600.93,603.04,26048700,0.0,0.0,0.0
2025-02-11,600.74,604.04,600.62,603.49,30056700,0.0,0.0,0.0
2025-02-12,597.4,602.74,596.71,601.55,45076100,0.0,0.0,0.0
2025-02-13,602.67,608.11,601.39,607.9,40921300,0.0,0.0,0.0
2025-02-14,608.11,609.16,607.24,607.87,26910400,0.0,0.0,0.0
2025-02-18,609.05,609.66,606.56,609.66,26749000,0.0,0.0,0.0
2025-02-19,608.25,611.39,607.73,611.09,31011100,0.0,0.0,0.0
2025-02-20,609.71,609.85,605.2,608.55,36554000,0.0,0.0,0.0
2025-02-21,608.33,608.47,597.67,598.14,76519800,0.0,0.0,0.0
2025-02-24,600.21,601.22,594.7,595.42,50737200,0.0,0.0,0.0
2025-02-25,595.36,596.1,587.79,592.46,58266500,0.0,0.0,0.0
2025-02-26,594.14,597.78,590.08,592.76,43321600,0.0,0.0,0.0
2025-02-27,595.06,596.23,582.9,583.3,74196700,0.0,0.0,0.0
2025-02-28,583.8,592.94,580.69,592.4,88744100,0.0,0.0,0.0
2025-03-03,594.39,595.55,578.16,582.02,74249200,0.0,0.0,0.0
2025-03-04,577.97,583.63,570.53,575.13,109648200,0.0,0.0,0.0
2025-03-05,574.96,583.13,571.36,581.31,71230500,0.0,0.0,0.0
2025-03-06,573.75,578.43,568.41,570.99,80094900,0.0,0.0,0.0
2025-03-07,569.19,575.66,563.93,574.19,81158800,0.0,0.0,0.0
2025-03-10,565.89,567.83,553.92,558.9,99326600,0.0,0.0,0.0
2025-03-11,557.72,562.33,550.36,554.25,88102100,0.0,0.0,0.0
2025-03-12,560.48,561.42,552.03,557.19,69588200,0.0,0.0,0.0
2025-03-13,556.81,557.43,548.03,549.77,74079400,0.0,0.0,0.0
2025-03-14,554.44,562.14,549.84,561.12,62660300,0.0,0.0,0.0
2025-03-17,561.1,568.0,560.66,565.45,49008700,0.0,0.0,0.0
2025-03-18,563.11,563.33,557.38,559.34,66041400,0.0,0.0,0.0
2025-03-19,561.14,569.24,559.95,565.43,66556000,0.0,0.0,0.0
2025-03-20,561.64,568.86,560.91,563.79,62958200,0.0,0.0,0.0
2025-03-21,559.28,564.89,558.03,563.98,83763000,1.7,0.0,0.0
2025-03-24,570.8,575.15,570.2,574.08,58766800,0.0,0.0,0.0
2025-03-25,575.3,576.41,573.69,575.46,38355700,0.0,0.0,0.0
2025-03-26,575.19,576.33,567.19,568.59,51848300,0.0,0.0,0.0
2025-03-27,567.18,570.9,564.94,567.08,42164200,0.0,0.0,0.0
2025-03-28,565.53,566.27,555.07,555.66,71662700,0.0,0.0,0.0
2025-03-31,549.83,560.71,546.87,559.39,95328200,0.0,0.0,0.0
2025-04-01,557.45,562.94,553.68,560.97,54609600,0.0,0.0,0.0
2025-04-02,555.05,567.42,554.81,564.52,76014500,0.0,0.0,0.0
2025-04-03,545.11,547.97,536.7,536.7,125986000,0.0,0.0,0.0
2025-04-04,523.67,525.87,505.06,505.28,217965100,0.0,0.0,0.0
2025-04-07,489.19,523.17,481.8,504.38,256611400,0.0,0.0,0.0
2025-04-08,521.86,524.98,489.16,496.48,165816600,0.0,0.0,0.0
2025-04-09,493.44,548.62,493.05,548.62,241867300,0.0,0.0,0.0
2025-04-10,532.17,533.5,509.32,524.58,162331200,0.0,0.0,0.0
2025-04-11,523.01,536.43,520.07,533.94,97866300,0.0,0.0,0.0
2025-04-14,544.05,544.28,533.86,539.12,68034000,0.0,0.0,0.0
2025-04-15,539.67,543.23,536.81,537.61,56892900,0.0,0.0,0.0
2025-04-16,531.68,537.89,520.29,525.66,83484800,0.0,0.0,0.0
2025-04-17,527.64,531.17,523.91,526.41,79868100,0.0,0.0,0.0
