Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,114.97,120.16,114.83,118.25,4808000,0.0,0.0
2025-01-03,119.2,126.06,119.04,125.62,7696700,0.0,0.0
2025-01-06,131.24,135.03,131.04,134.02,9688500,0.0,0.0
2025-01-07,134.94,135.27,125.96,130.58,7258000,0.0,0.0
2025-01-08,130.14,130.55,125.15,129.21,4115800,0.0,0.0
2025-01-10,128.03,129.17,122.09,128.88,5205600,0.0,0.0
2025-01-13,123.19,124.64,118.65,123.96,6856600,0.0,0.0
2025-01-14,126.08,130.82,125.66,128.89,6231600,0.0,0.0
2025-01-15,132.4,133.43,128.82,131.94,4268100,0.0,0.0
2025-01-16,133.8,136.16,131.56,132.53,4427700,0.0,0.0
2025-01-17,134.44,137.24,132.54,135.82,4915100,0.0,0.0
2025-01-21,141.08,143.42,135.49,143.07,7427400,0.0,0.0
2025-01-22,150.02,154.72,147.62,148.53,9963900,0.0,0.0
2025-01-23,147.4,155.19,146.49,153.42,7579300,0.0,0.0
2025-01-24,154.19,155.77,145.35,146.26,8530300,0.0,0.0
2025-01-27,117.0,121.43,99.07,102.56,47118800,0.0,0.0
2025-01-28,104.14,106.95,97.46,106.5,24199200,0.0,0.0
2025-01-29,108.89,112.62,105.99,110.41,17317300,0.0,0.0
2025-01-30,115.9,119.69,111.39,114.55,13358600,0.0,0.0
2025-01-31,118.0,121.14,113.65,116.97,11211100,0.0,0.0
2025-02-03,105.7,114.3,104.96,112.55,10950400,0.0,0.0
2025-02-04,112.95,113.69,109.5,111.2,7636300,0.0,0.0
2025-02-05,114.22,119.35,113.49,118.99,8100300,0.0,0.0
2025-02-06,119.61,121.29,117.5,119.51,5610600,0.0,0.0
2025-02-07,120.95,123.98,119.42,121.33,6041100,0.0,0.0
2025-02-10,120.73,126.47,120.73,125.71,7773300,0.0,0.0
2025-02-11,123.53,124.81,120.16,123.2,9012300,0.0,0.0
2025-02-12,111.03,115.95,110.7,111.19,21298100,0.0,0.0
2025-02-13,112.95,114.45,105.77,109.23,14407500,0.0,0.0
2025-02-14,109.25,109.25,105.81,108.0,7157300,0.0,0.0
2025-02-18,110.96,113.32,108.93,109.91,6717700,0.0,0.0
2025-02-19,109.81,110.33,106.62,107.79,5945000,0.0,0.0
2025-02-20,108.95,110.56,102.63,104.79,9035800,0.0,0.0
2025-02-21,104.96,104.96,94.53,95.95,15635300,0.0,0.0
2025-02-24,96.96,96.96,88.7,90.98,17153500,0.0,0.0
2025-02-25,88.96,94.21,84.65,91.86,20420600,0.0,0.0
2025-02-26,100.62,101.76,96.99,98.57,15843700,0.0,0.0
2025-02-27,103.66,104.16,91.9,92.37,12551000,0.0,0.0
2025-02-28,91.47,96.04,90.96,95.13,9527600,0.0,0.0
2025-03-03,93.62,94.86,84.06,85.37,15779700,0.0,0.0
2025-03-04,82.07,88.92,78.97,86.35,17251800,0.0,0.0
2025-03-05,86.17,89.22,83.75,87.85,8103200,0.0,0.0
2025-03-06,82.61,85.44,80.57,82.01,10284400,0.0,0.0
2025-03-07,82.01,85.46,79.76,85.0,9677300,0.0,0.0
2025-03-10,81.22,82.43,76.07,77.99,14742900,0.0,0.0
2025-03-11,78.92,85.31,78.09,83.08,10287600,0.0,0.0
2025-03-12,88.86,89.48,82.81,85.34,9870900,0.0,0.0
2025-03-13,84.21,85.09,79.88,83.05,8079800,0.0,0.0
2025-03-14,86.78,87.82,83.56,87.41,7348500,0.0,0.0
2025-03-17,86.78,90.68,86.54,89.04,7248000,0.0,0.0
2025-03-18,87.86,88.17,84.06,84.66,6148800,0.04,0.0
2025-03-19,85.79,91.19,84.66,89.17,7165400,0.0,0.0
2025-03-20,86.88,90.81,86.52,89.08,5474100,0.0,0.0
2025-03-21,87.06,89.11,85.75,88.63,5240900,0.0,0.0
2025-03-24,92.0,94.2,90.56,93.69,6225200,0.0,0.0
2025-03-25,92.95,94.02,89.51,91.58,6850800,0.0,0.0
2025-03-26,85.7,86.58,80.1,81.62,18957000,0.0,0.0
2025-03-27,78.57,79.46,75.93,76.32,17175000,0.0,0.0
2025-03-28,75.65,76.5,72.49,74.25,13147200,0.0,0.0
2025-03-31,70.0,72.49,68.25,72.2,13779500,0.0,0.0
2025-04-01,71.91,75.67,70.37,75.27,10133200,0.0,0.0
2025-04-02,72.5,77.68,72.43,77.11,8254100,0.0,0.0
2025-04-03,69.6,71.52,66.62,67.47,14045300,0.0,0.0
2025-04-04,60.04,61.79,55.32,59.41,27351300,0.0,0.0
2025-04-07,53.61,67.85,53.6,63.82,20280000,0.0,0.0
2025-04-08,70.2,70.35,60.67,62.9,17171900,0.0,0.0
2025-04-09,61.85,76.49,61.28,72.82,18896600,0.0,0.0
2025-04-10,69.19,70.78,65.92,67.73,11791000,0.0,0.0
2025-04-11,67.3,69.71,65.68,69.61,8185500,0.0,0.0
2025-04-14,73.22,73.42,70.13,71.57,7879500,0.0,0.0
2025-04-15,71.37,73.47,71.37,72.71,6190300,0.0,0.0
2025-04-16,69.18,72.21,68.33,71.65,14543000,0.0,0.0
2025-04-17,72.5,73.74,70.85,73.21,9296500,0.0,0.0
