Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-01-02,7.45,7.45,7.45,7.45,0,0.0,0.0,0.0
2025-01-03,7.42,7.42,7.42,7.42,0,0.0,0.0,0.0
2025-01-06,7.39,7.39,7.39,7.39,0,0.0,0.0,0.0
2025-01-07,7.33,7.33,7.33,7.33,0,0.0,0.0,0.0
2025-01-08,7.34,7.34,7.34,7.34,0,0.0,0.0,0.0
2025-01-10,7.28,7.28,7.28,7.28,0,0.0,0.0,0.0
2025-01-13,7.27,7.27,7.27,7.27,0,0.0,0.0,0.0
2025-01-14,7.26,7.26,7.26,7.26,0,0.0,0.0,0.0
2025-01-15,7.38,7.38,7.38,7.38,0,0.0,0.0,0.0
2025-01-16,7.4,7.4,7.4,7.4,0,0.0,0.0,0.0
2025-01-17,7.41,7.41,7.41,7.41,0,0.0,0.0,0.0
2025-01-21,7.47,7.47,7.47,7.47,0,0.0,0.0,0.0
2025-01-22,7.44,7.44,7.44,7.44,0,0.0,0.0,0.0
2025-01-23,7.4,7.4,7.4,7.4,0,0.0,0.0,0.0
2025-01-24,7.43,7.43,7.43,7.43,0,0.0,0.0,0.0
2025-01-27,7.5,7.5,7.5,7.5,0,0.0,0.0,0.0
2025-01-28,7.48,7.48,7.48,7.48,0,0.0,0.0,0.0
2025-01-29,7.47,7.47,7.47,7.47,0,0.0,0.0,0.0
2025-01-30,7.49,7.49,7.49,7.49,0,0.0,0.0,0.0
2025-01-31,7.48,7.48,7.48,7.48,0,0.03,0.0,0.0
2025-02-03,7.5,7.5,7.5,7.5,0,0.0,0.0,0.0
2025-02-04,7.53,7.53,7.53,7.53,0,0.0,0.0,0.0
2025-02-05,7.61,7.61,7.61,7.61,0,0.0,0.0,0.0
2025-02-06,7.6,7.6,7.6,7.6,0,0.0,0.0,0.0
2025-02-07,7.55,7.55,7.55,7.55,0,0.0,0.0,0.0
2025-02-10,7.54,7.54,7.54,7.54,0,0.0,0.0,0.0
2025-02-11,7.51,7.51,7.51,7.51,0,0.0,0.0,0.0
2025-02-12,7.43,7.43,7.43,7.43,0,0.0,0.0,0.0
2025-02-13,7.53,7.53,7.53,7.53,0,0.0,0.0,0.0
2025-02-14,7.57,7.57,7.57,7.57,0,0.0,0.0,0.0
2025-02-18,7.51,7.51,7.51,7.51,0,0.0,0.0,0.0
2025-02-19,7.51,7.51,7.51,7.51,0,0.0,0.0,0.0
2025-02-20,7.53,7.53,7.53,7.53,0,0.0,0.0,0.0
2025-02-21,7.58,7.58,7.58,7.58,0,0.0,0.0,0.0
2025-02-24,7.61,7.61,7.61,7.61,0,0.0,0.0,0.0
2025-02-25,7.69,7.69,7.69,7.69,0,0.0,0.0,0.0
2025-02-26,7.72,7.72,7.72,7.72,0,0.0,0.0,0.0
2025-02-27,7.67,7.67,7.67,7.67,0,0.0,0.0,0.0
2025-02-28,7.75,7.75,7.75,7.75,0,0.03,0.0,0.0
2025-03-03,7.78,7.78,7.78,7.78,0,0.0,0.0,0.0
2025-03-04,7.72,7.72,7.72,7.72,0,0.0,0.0,0.0
2025-03-05,7.68,7.68,7.68,7.68,0,0.0,0.0,0.0
2025-03-06,7.65,7.65,7.65,7.65,0,0.0,0.0,0.0
2025-03-07,7.62,7.62,7.62,7.62,0,0.0,0.0,0.0
2025-03-10,7.67,7.67,7.67,7.67,0,0.0,0.0,0.0
2025-03-11,7.6,7.6,7.6,7.6,0,0.0,0.0,0.0
2025-03-12,7.57,7.57,7.57,7.57,0,0.0,0.0,0.0
2025-03-13,7.6,7.6,7.6,7.6,0,0.0,0.0,0.0
2025-03-14,7.59,7.59,7.59,7.59,0,0.0,0.0,0.0
2025-03-17,7.62,7.62,7.62,7.62,0,0.0,0.0,0.0
2025-03-18,7.63,7.63,7.63,7.63,0,0.0,0.0,0.0
2025-03-19,7.68,7.68,7.68,7.68,0,0.0,0.0,0.0
2025-03-20,7.68,7.68,7.68,7.68,0,0.0,0.0,0.0
2025-03-21,7.64,7.64,7.64,7.64,0,0.0,0.0,0.0
2025-03-24,7.58,7.58,7.58,7.58,0,0.0,0.0,0.0
2025-03-25,7.59,7.59,7.59,7.59,0,0.0,0.0,0.0
2025-03-26,7.54,7.54,7.54,7.54,0,0.0,0.0,0.0
2025-03-27,7.51,7.51,7.51,7.51,0,0.0,0.0,0.0
2025-03-28,7.58,7.58,7.58,7.58,0,0.0,0.0,0.0
2025-03-31,7.64,7.64,7.64,7.64,0,0.03,0.0,0.0
2025-04-01,7.68,7.68,7.68,7.68,0,0.0,0.0,0.0
2025-04-02,7.69,7.69,7.69,7.69,0,0.0,0.0,0.0
2025-04-03,7.69,7.69,7.69,7.69,0,0.0,0.0,0.0
2025-04-04,7.7,7.7,7.7,7.7,0,0.0,0.0,0.0
2025-04-07,7.5,7.5,7.5,7.5,0,0.0,0.0,0.0
2025-04-08,7.38,7.38,7.38,7.38,0,0.0,0.0,0.0
2025-04-09,7.42,7.42,7.42,7.42,0,0.0,0.0,0.0
2025-04-10,7.31,7.31,7.31,7.31,0,0.0,0.0,0.0
2025-04-11,7.32,7.32,7.32,7.32,0,0.0,0.0,0.0
2025-04-14,7.39,7.39,7.39,7.39,0,0.0,0.0,0.0
2025-04-15,7.42,7.42,7.42,7.42,0,0.0,0.0,0.0
2025-04-16,7.46,7.46,7.46,7.46,0,0.0,0.0,0.0
2025-04-17,7.42,7.42,7.42,7.42,0,0.0,0.0,0.0
